,imLoc,jVel,jPos,eeVel,eePos,cPos
10,/images/episode_0/run_0/step_10.jpg,"-0.14173030853271484,0.22283077239990234,0.09984493255615234,-0.00020503997802734375,0.014462471008300781,-0.3696441650390625,0.23682117462158203","-0.07718801498413086,-0.6067537069320679,0.0429689884185791,-2.094395160675049,0.01761770248413086,0.840264081954956,0.13386869430541992","-0.005723297595977783,1.1512709856033325,0.4873772859573364","-0.011232197284698486,-0.1091146469116211,-0.008655190467834473,-0.15156340599060059,-0.12964262068271637,-0.2202233523130417","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
11,/images/episode_0/run_0/step_11.jpg,"-0.13858318328857422,0.22974014282226562,0.10117530822753906,-0.00026226043701171875,0.010461807250976562,-0.3613090515136719,0.2300119400024414","-0.08411717414855957,-0.5952666997909546,0.048027753829956055,-2.094395160675049,0.018140792846679688,0.8221986293792725,0.145369291305542","-0.006289169192314148,1.1457369327545166,0.48661091923713684","-0.011338293552398682,-0.11057376861572266,-0.015493035316467285,-0.13610699772834778,-0.12356585264205933,-0.20954826474189758","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
12,/images/episode_0/run_0/step_12.jpg,"-0.13538837432861328,0.23612499237060547,0.10228157043457031,-0.0002193450927734375,0.006656646728515625,-0.3536081314086914,0.22347450256347656","-0.09088659286499023,-0.5834604501724243,0.05314183235168457,-2.094395160675049,0.01847362518310547,0.8045182228088379,0.15654301643371582","-0.006839759647846222,1.1402755975723267,0.48565852642059326","-0.011029839515686035,-0.10913848876953125,-0.01920163631439209,-0.12227723002433777,-0.1179966926574707,-0.1987047642469406","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
13,/images/episode_0/run_0/step_13.jpg,"-0.13236522674560547,0.24214744567871094,0.10317802429199219,-0.000171661376953125,0.0028848648071289062,-0.3465890884399414,0.21720409393310547","-0.09750485420227051,-0.5713530778884888,0.05830073356628418,-2.094395160675049,0.018617868423461914,0.7871887683868408,0.1674032211303711","-0.0073850154876708984,1.1349024772644043,0.48453831672668457","-0.010922551155090332,-0.1073598861694336,-0.02252638339996338,-0.10938409715890884,-0.11276263743638992,-0.18870992958545685","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
14,/images/episode_0/run_0/step_14.jpg,"-0.12947559356689453,0.24806499481201172,0.10388374328613281,-0.00026702880859375,-0.000896453857421875,-0.3402233123779297,0.2111673355102539","-0.10397863388061523,-0.5589498281478882,0.06349492073059082,-2.094395160675049,0.01857304573059082,0.7701776027679443,0.1779615879058838","-0.007941208779811859,1.1294491291046143,0.48309749364852905","-0.011141002178192139,-0.10894298553466797,-0.02898693084716797,-0.09675160050392151,-0.10774971544742584,-0.17953380942344666","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
15,/images/episode_0/run_0/step_15.jpg,"-0.1265859603881836,0.2534198760986328,0.10448932647705078,-0.000171661376953125,-0.004544258117675781,-0.33442020416259766,0.20546436309814453","-0.11030793190002441,-0.5462788343429565,0.06871938705444336,-2.094395160675049,0.01834583282470703,0.7534565925598145,0.18823480606079102","-0.008481509983539581,1.124067783355713,0.4814945161342621","-0.010823458433151245,-0.10751962661743164,-0.03217756748199463,-0.08598409593105316,-0.10317455232143402,-0.16996487975120544","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
16,/images/episode_0/run_0/step_16.jpg,"-0.12391090393066406,0.25867462158203125,0.10501384735107422,-0.0001811981201171875,-0.008258819580078125,-0.3292083740234375,0.200042724609375","-0.11650347709655762,-0.533345103263855,0.07397007942199707,-2.094395160675049,0.017932891845703125,0.7369961738586426,0.19823694229125977","-0.009018033742904663,1.1187708377838135,0.4797363877296448","-0.010744333267211914,-0.10581731796264648,-0.03527939319610596,-0.07540486752986908,-0.09886961430311203,-0.1612958461046219","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
17,/images/episode_0/run_0/step_17.jpg,"-0.1214599609375,0.26374340057373047,0.10547637939453125,-0.00023365020751953125,-0.012044906616210938,-0.32459259033203125,0.1949787139892578","-0.12257647514343262,-0.5201579332351685,0.07924389839172363,-2.094395160675049,0.017330646514892578,0.720766544342041,0.20798587799072266","-0.00956786423921585,1.1133933067321777,0.47768279910087585","-0.011013448238372803,-0.10741472244262695,-0.04122138023376465,-0.0655132457613945,-0.09464269876480103,-0.15337124466896057","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
18,/images/episode_0/run_0/step_18.jpg,"-0.11904716491699219,0.26846885681152344,0.10592460632324219,-0.00017642974853515625,-0.015854835510253906,-0.3203725814819336,0.19022464752197266","-0.12852883338928223,-0.5067344903945923,0.08454012870788574,-2.094395160675049,0.016537904739379883,0.7047479152679443,0.2174971103668213","-0.010105624794960022,1.1080862283706665,0.47547829151153564","-0.010768920183181763,-0.10601520538330078,-0.04419386386871338,-0.05675048381090164,-0.09077717363834381,-0.1451389491558075","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
19,/images/episode_0/run_0/step_19.jpg,"-0.11692047119140625,0.2730846405029297,0.10638713836669922,-0.00019550323486328125,-0.019783973693847656,-0.3166675567626953,0.18589496612548828","-0.13437485694885254,-0.4930802583694458,0.0898594856262207,-2.094395160675049,0.0155487060546875,0.6889145374298096,0.2267918586730957","-0.010641511529684067,1.1028649806976318,0.4731370806694031","-0.010731220245361328,-0.10428905487060547,-0.046944618225097656,-0.048354845494031906,-0.08705367147922516,-0.1376958191394806","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
20,/images/episode_0/run_0/step_20.jpg,"-0.1150369644165039,0.2775764465332031,0.1069498062133789,-0.000209808349609375,-0.023865699768066406,-0.3134441375732422,0.18189430236816406","-0.14012670516967773,-0.47920143604278564,0.09520697593688965,-2.094395160675049,0.01435542106628418,0.6732423305511475,0.2358865737915039","-0.01119278371334076,1.0975635051727295,0.4705160856246948","-0.011035129427909851,-0.10588645935058594,-0.05254924297332764,-0.04045645892620087,-0.08346787840127945,-0.13086624443531036","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
21,/images/episode_0/run_0/step_21.jpg,"-0.11327743530273438,0.2818727493286133,0.1074838638305664,-0.00019073486328125,-0.02803802490234375,-0.31054019927978516,0.17834186553955078","-0.14579057693481445,-0.465107798576355,0.10058116912841797,-2.094395160675049,0.012953519821166992,0.6577153205871582,0.24480366706848145","-0.01173333078622818,1.0923326015472412,0.4677543640136719","-0.010821297764778137,-0.10446786880493164,-0.055336952209472656,-0.03331699222326279,-0.08009424805641174,-0.12375564128160477","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
22,/images/episode_0/run_0/step_22.jpg,"-0.1118326187133789,0.2860069274902344,0.1081991195678711,-0.00014781951904296875,-0.03245830535888672,-0.3080129623413086,0.1752328872680664","-0.1513822078704834,-0.45080745220184326,0.10599112510681152,-2.094395160675049,0.011330604553222656,0.6423146724700928,0.25356531143188477","-0.01227298378944397,1.0871922969818115,0.46487241983413696","-0.010801255702972412,-0.10266780853271484,-0.057718753814697266,-0.0268048495054245,-0.07692734152078629,-0.11740081757307053","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
23,/images/episode_0/run_0/step_23.jpg,"-0.11070728302001953,0.29021263122558594,0.10897159576416016,-0.0002384185791015625,-0.037102699279785156,-0.30588626861572266,0.17258167266845703","-0.15691757202148438,-0.43629682064056396,0.11143970489501953,-2.094395160675049,0.009475469589233398,0.6270203590393066,0.2621943950653076","-0.01283145323395729,1.0819720029830933,0.4617176651954651","-0.011176541447639465,-0.10423660278320312,-0.06323635578155518,-0.02011549100279808,-0.07377764582633972,-0.11165428906679153","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
24,/images/episode_0/run_0/step_24.jpg,"-0.1096963882446289,0.29410839080810547,0.10994911193847656,-0.00015735626220703125,-0.04196643829345703,-0.30396461486816406,0.17043590545654297","-0.16240239143371582,-0.4215914011001587,0.11693716049194336,-2.094395160675049,0.007377147674560547,0.6118221282958984,0.27071619033813477","-0.013378951698541641,1.0768276453018188,0.4584363102912903","-0.010958313941955566,-0.10272741317749023,-0.06570041179656982,-0.014592144638299942,-0.07094794511795044,-0.10549673438072205","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
25,/images/episode_0/run_0/step_25.jpg,"-0.10905265808105469,0.29801368713378906,0.11106491088867188,-0.000171661376953125,-0.04719734191894531,-0.30234813690185547,0.16883373260498047","-0.16785502433776855,-0.40669071674346924,0.12249040603637695,-2.094395160675049,0.005017280578613281,0.5967047214508057,0.2791578769683838","-0.01392703503370285,1.071807622909546,0.4550663232803345","-0.010961145162582397,-0.10024309158325195,-0.06747722625732422,-0.009068300947546959,-0.06818192452192307,-0.1001891940832138","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
26,/images/episode_0/run_0/step_26.jpg,"-0.1086568832397461,0.3018760681152344,0.11239051818847656,-0.00016689300537109375,-0.05279064178466797,-0.3010892868041992,0.1677989959716797","-0.17328786849975586,-0.3915969133377075,0.12810993194580078,-2.094395160675049,0.002377748489379883,0.5816502571105957,0.2875478267669678","-0.014486569911241531,1.066653847694397,0.45138585567474365","-0.011197477579116821,-0.10291337966918945,-0.07369160652160645,-0.003886524587869644,-0.06549055129289627,-0.09482745081186295","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
27,/images/episode_0/run_0/step_27.jpg,"-0.1086282730102539,0.3056144714355469,0.11391639709472656,-0.00018596649169921875,-0.05881309509277344,-0.2998685836791992,0.16743183135986328","-0.17871928215026855,-0.3763161897659302,0.1338057518005371,-2.094395160675049,-0.0005629062652587891,0.5666568279266357,0.29591941833496094","-0.015049867331981659,1.0616058111190796,0.44760239124298096","-0.011260956525802612,-0.10077714920043945,-0.07576227188110352,0.0010070258285850286,-0.06294615566730499,-0.09014543145895004","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
28,/images/episode_0/run_0/step_28.jpg,"-0.1088857650756836,0.309295654296875,0.11570930480957031,-0.0001621246337890625,-0.06535053253173828,-0.298919677734375,0.1677417755126953","-0.18416357040405273,-0.3608514070510864,0.13959121704101562,-2.094395160675049,-0.003830432891845703,0.551710844039917,0.3043065071105957","-0.015604086220264435,1.0566902160644531,0.44374144077301025","-0.011088475584983826,-0.09814977645874023,-0.07729172706604004,0.005401276051998138,-0.060571201145648956,-0.08529503643512726","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
29,/images/episode_0/run_0/step_29.jpg,"-0.10946273803710938,0.3130006790161133,0.11778831481933594,-0.0001621246337890625,-0.07249832153320312,-0.2982473373413086,0.16881465911865234","-0.1896367073059082,-0.34520137310028076,0.14548063278198242,-2.094395160675049,-0.007455348968505859,0.5367984771728516,0.3127472400665283","-0.01617664098739624,1.0516479015350342,0.43957653641700745","-0.011443644762039185,-0.10066747665405273,-0.08336544036865234,0.009731968864798546,-0.05820230394601822,-0.08091047406196594","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
30,/images/episode_0/run_0/step_30.jpg,"-0.11044502258300781,0.3166341781616211,0.12012004852294922,-0.00019550323486328125,-0.08031368255615234,-0.2975320816040039,0.17076492309570312","-0.1951589584350586,-0.3293696641921997,0.15148663520812988,-2.094395160675049,-0.011471033096313477,0.5219218730926514,0.3212854862213135","-0.016751214861869812,1.0467175245285034,0.43530964851379395","-0.011489540338516235,-0.09841680526733398,-0.08541584014892578,0.013994140550494194,-0.0560363233089447,-0.07692236453294754","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
31,/images/episode_0/run_0/step_31.jpg,"-0.11167526245117188,0.32013416290283203,0.12279987335205078,-0.000152587890625,-0.08890628814697266,-0.2970123291015625,0.1736164093017578","-0.2007427215576172,-0.3133629560470581,0.15762662887573242,-2.094395160675049,-0.01591634750366211,0.5070712566375732,0.32996630668640137","-0.017312541604042053,1.0419492721557617,0.43099454045295715","-0.01121625304222107,-0.09519100189208984,-0.08635640144348145,0.01745908334851265,-0.05398954451084137,-0.07268586754798889","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
32,/images/episode_0/run_0/step_32.jpg,"-0.11333465576171875,0.3238058090209961,0.12584209442138672,-0.00015735626220703125,-0.09847164154052734,-0.2966785430908203,0.1775646209716797","-0.20640945434570312,-0.2971726655960083,0.16391873359680176,-2.094395160675049,-0.020839929580688477,0.4922373294830322,0.33884453773498535","-0.017896004021167755,1.037019968032837,0.4263377785682678","-0.011660009622573853,-0.09840011596679688,-0.09318828582763672,0.021371806040406227,-0.05193231254816055,-0.06893166154623032","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
33,/images/episode_0/run_0/step_33.jpg,"-0.11536598205566406,0.32729148864746094,0.12922286987304688,-0.000171661376953125,-0.10913372039794922,-0.29621124267578125,0.18274307250976562","-0.21217775344848633,-0.28080809116363525,0.1703798770904541,-2.094395160675049,-0.026296615600585938,0.47742676734924316,0.34798169136047363","-0.018479734659194946,1.0322296619415283,0.42160293459892273","-0.011667460203170776,-0.0956106185913086,-0.09476542472839355,0.024903416633605957,-0.05003490298986435,-0.06556370854377747","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
34,/images/episode_0/run_0/step_34.jpg,"-0.11775970458984375,0.33083438873291016,0.13300418853759766,-0.00015735626220703125,-0.12104034423828125,-0.29589176177978516,0.1892852783203125","-0.21806573867797852,-0.26426637172698975,0.17703008651733398,-2.094395160675049,-0.0323486328125,0.4626321792602539,0.35744595527648926","-0.019047975540161133,1.027637243270874,0.41683924198150635","-0.01135408878326416,-0.0916600227355957,-0.09531021118164062,0.028241261839866638,-0.04829740524291992,-0.06201367452740669","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
35,/images/episode_0/run_0/step_35.jpg,"-0.12051105499267578,0.3344392776489258,0.1372051239013672,-0.00012874603271484375,-0.13453006744384766,-0.29571056365966797,0.19745349884033203","-0.2240912914276123,-0.24754440784454346,0.18389034271240234,-2.094395160675049,-0.03907513618469238,0.4478466510772705,0.36731863021850586","-0.01964503526687622,1.022843837738037,0.41169917583465576","-0.011927485466003418,-0.09567737579345703,-0.1028287410736084,0.03134624660015106,-0.04652111232280731,-0.05884004384279251","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
36,/images/episode_0/run_0/step_36.jpg,"-0.12359142303466797,0.33791065216064453,0.14175891876220703,-0.00013828277587890625,-0.14975547790527344,-0.2952384948730469,0.20743846893310547","-0.2302708625793457,-0.23064887523651123,0.1909782886505127,-2.094395160675049,-0.046562910079956055,0.43308472633361816,0.37769055366516113","-0.02023206651210785,1.018220067024231,0.40649983286857605","-0.011726319789886475,-0.09227752685546875,-0.10401666164398193,0.03460622578859329,-0.04490317404270172,-0.05574207752943039","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
37,/images/episode_0/run_0/step_37.jpg,"-0.1269817352294922,0.3415250778198242,0.14665603637695312,-0.0001811981201171875,-0.1671123504638672,-0.29480934143066406,0.21957874298095703","-0.2366199493408203,-0.21357262134552002,0.19831109046936035,-2.094395160675049,-0.054918527603149414,0.41834425926208496,0.388669490814209","-0.020809516310691833,1.0138065814971924,0.40127527713775635","-0.011530965566635132,-0.08806943893432617,-0.10453760623931885,0.037771571427583694,-0.043431490659713745,-0.05292850732803345","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
38,/images/episode_0/run_0/step_38.jpg,"-0.1305246353149414,0.34514904022216797,0.15192508697509766,-9.5367431640625e-05,-0.18702030181884766,-0.2945280075073242,0.23427963256835938","-0.24314618110656738,-0.19631516933441162,0.20590734481811523,-2.094395160675049,-0.0642695426940918,0.40361785888671875,0.40038347244262695","-0.021405011415481567,1.009203553199768,0.39567890763282776","-0.011885315179824829,-0.09186506271362305,-0.11192500591278076,0.040340978652238846,-0.04192855581641197,-0.049847312271595","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
39,/images/episode_0/run_0/step_39.jpg,"-0.13420581817626953,0.3487539291381836,0.1573038101196289,-0.000152587890625,-0.2098560333251953,-0.29372692108154297,0.2518749237060547","-0.24985647201538086,-0.17887747287750244,0.21377253532409668,-2.094395160675049,-0.07476234436035156,0.3889315128326416,0.4129772186279297","-0.021998964250087738,1.0047812461853027,0.39002132415771484","-0.011850446462631226,-0.0882411003112793,-0.11317431926727295,0.043567292392253876,-0.04055793583393097,-0.047509223222732544","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
40,/images/episode_0/run_0/step_40.jpg,"-0.13763427734375,0.3524923324584961,0.16269207000732422,-0.00012874603271484375,-0.2362537384033203,-0.2929115295410156,0.27297019958496094","-0.25673818588256836,-0.16125285625457764,0.2219071388244629,-2.094395160675049,-0.08657503128051758,0.3742859363555908,0.42662572860717773","-0.022561654448509216,1.0006110668182373,0.3843746483325958","-0.01123473048210144,-0.08321285247802734,-0.11293888092041016,0.04629017785191536,-0.0394454188644886,-0.044466860592365265","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
41,/images/episode_0/run_0/step_41.jpg,"-0.14072895050048828,0.35634517669677734,0.1678752899169922,-7.152557373046875e-05,-0.26702404022216797,-0.2920389175415039,0.29838085174560547","-0.2637746334075928,-0.14343559741973877,0.2303009033203125,-2.094395160675049,-0.09992623329162598,0.3596839904785156,0.441544771194458","-0.023163333535194397,0.9962049722671509,0.3782978057861328","-0.012004971504211426,-0.08793354034423828,-0.12150347232818604,0.048800498247146606,-0.03799958899617195,-0.04232470691204071","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
42,/images/episode_0/run_0/step_42.jpg,"-0.14267444610595703,0.3601360321044922,0.17211437225341797,-0.00010967254638671875,-0.3025054931640625,-0.29042720794677734,0.32837867736816406","-0.2709083557128906,-0.12542879581451416,0.2389066219329834,-2.094395160675049,-0.1150515079498291,0.34516263008117676,0.4579637050628662","-0.02374221384525299,0.9920148253440857,0.3721912205219269","-0.011542737483978271,-0.08359193801879883,-0.12211978435516357,0.05168021097779274,-0.03698240593075752,-0.039712753146886826","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
43,/images/episode_0/run_0/step_43.jpg,"-0.14298439025878906,0.3641176223754883,0.17488479614257812,-0.0001049041748046875,-0.3438997268676758,-0.28851985931396484,0.36414146423339844","-0.2780575752258301,-0.10722291469573975,0.2476508617401123,-2.094395160675049,-0.1322464942932129,0.3307366371154785,0.47617077827453613","-0.024315521121025085,0.9879277944564819,0.3659493327140808","-0.011428594589233398,-0.08154749870300293,-0.12482047080993652,0.05440189689397812,-0.035912688821554184,-0.037428081035614014","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
44,/images/episode_0/run_0/step_44.jpg,"-0.14052391052246094,0.36826610565185547,0.17502307891845703,-0.00010967254638671875,-0.39194583892822266,-0.2861166000366211,0.40633678436279297","-0.2850837707519531,-0.08880960941314697,0.25640201568603516,-2.094395160675049,-0.15184378623962402,0.31643080711364746,0.4964876174926758","-0.024881690740585327,0.9839558601379395,0.3595815896987915","-0.011284798383712769,-0.07923364639282227,-0.1273268461227417,0.057078152894973755,-0.03482002392411232,-0.03517492488026619","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
45,/images/episode_0/run_0/step_45.jpg,"-0.1336526870727539,0.37253379821777344,0.17096519470214844,0.001163482666015625,-0.44738292694091797,-0.283050537109375,0.4558229446411133","-0.2917664051055908,-0.0701829195022583,0.2649502754211426,-2.094395160675049,-0.17421293258666992,0.3022782802581787,0.5192787647247314","-0.025432191789150238,0.9800364971160889,0.3530311584472656","-0.010968595743179321,-0.07863044738769531,-0.13029992580413818,0.0583755224943161,-0.03390413895249367,-0.03251601755619049","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
46,/images/episode_0/run_0/step_46.jpg,"-0.12053966522216797,0.3769111633300781,0.16051292419433594,0.001850128173828125,-0.5106306076049805,-0.2790403366088867,0.5129623413085938","-0.2977933883666992,-0.051337361335754395,0.2729759216308594,-2.094395160675049,-0.19974446296691895,0.2883262634277344,0.5449268817901611","-0.025978893041610718,0.9762368202209473,0.34634560346603394","-0.010896772146224976,-0.07649898529052734,-0.1326286792755127,0.060645993798971176,-0.032731253653764725,-0.030603747814893723","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
47,/images/episode_0/run_0/step_47.jpg,"-0.09837150573730469,0.3812122344970703,0.14081478118896484,0.0022983551025390625,-0.5811548233032227,-0.2741575241088867,0.5774784088134766","-0.30271196365356445,-0.03227674961090088,0.2800166606903076,-2.094395160675049,-0.22880220413208008,0.27461838722229004,0.573800802230835","-0.02650589495897293,0.972565770149231,0.3395380675792694","-0.01050502061843872,-0.07410168647766113,-0.13483703136444092,0.06291394680738449,-0.03164926916360855,-0.028261279687285423","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
48,/images/episode_0/run_0/step_48.jpg,"-0.06427764892578125,0.38536548614501953,0.10851383209228516,0.0025701522827148438,-0.6574344635009766,-0.26832103729248047,0.6479787826538086","-0.3059258460998535,-0.013008475303649902,0.2854423522949219,-2.094395160675049,-0.2616739273071289,0.261202335357666,0.6061997413635254","-0.02701456844806671,0.9689624309539795,0.33254367113113403","-0.010145753622055054,-0.07288098335266113,-0.1384514570236206,0.0656709149479866,-0.030473116785287857,-0.025891896337270737","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
49,/images/episode_0/run_0/step_49.jpg,"-0.015654563903808594,0.38901329040527344,0.060272216796875,0.0027036666870117188,-0.7357025146484375,-0.26165008544921875,0.7212257385253906","-0.30670857429504395,0.0064421892166137695,0.2884559631347656,-2.094395160675049,-0.2984590530395508,0.24811983108520508,0.6422610282897949","-0.027513980865478516,0.9654968976974487,0.32541173696517944","-0.009978115558624268,-0.07022380828857422,-0.1411515474319458,0.06889040768146515,-0.028811616823077202,-0.0241519957780838","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
50,/images/episode_0/run_0/step_50.jpg,"0.04933357238769531,0.3915548324584961,-0.006160736083984375,0.00286102294921875,-0.8101940155029297,-0.25470733642578125,0.7919931411743164","-0.3042418956756592,0.026019930839538574,0.2881479263305664,-2.094395160675049,-0.33896875381469727,0.23538446426391602,0.6818606853485107","-0.02798306941986084,0.962185263633728,0.31816643476486206","-0.0093822181224823,-0.06723880767822266,-0.14336168766021729,0.07178831845521927,-0.02701040543615818,-0.02187340520322323","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
